MGI_ID,Mouse_symbol,IMPC_viability_DR7.0,Link_IMPC
MGI:103097,Anapc1,Lethal,http://www.mousephenotype.org/data/genes/MGI:103097
MGI:103098,Pdpn,Subviable,http://www.mousephenotype.org/data/genes/MGI:103098
MGI:103100,Car7,Viable,http://www.mousephenotype.org/data/genes/MGI:103100
MGI:103107,F10,Lethal,http://www.mousephenotype.org/data/genes/MGI:103107
MGI:103149,Uchl1,Viable,http://www.mousephenotype.org/data/genes/MGI:103149
MGI:103157,Dnase1,Viable,http://www.mousephenotype.org/data/genes/MGI:103157
MGI:103159,Cish,Viable,http://www.mousephenotype.org/data/genes/MGI:103159
MGI:103177,Mpz,Viable,http://www.mousephenotype.org/data/genes/MGI:103177
MGI:103180,Tcf19,Viable,http://www.mousephenotype.org/data/genes/MGI:103180
MGI:103199,Mcm4,Lethal,http://www.mousephenotype.org/data/genes/MGI:103199
MGI:103201,Aqp1,Viable,http://www.mousephenotype.org/data/genes/MGI:103201
MGI:103202,Adsl,Lethal,http://www.mousephenotype.org/data/genes/MGI:103202
MGI:103206,Acod1,Viable,http://www.mousephenotype.org/data/genes/MGI:103206
MGI:103221,Dsc2,Viable,http://www.mousephenotype.org/data/genes/MGI:103221
MGI:103224,Fdx1,Lethal,http://www.mousephenotype.org/data/genes/MGI:103224
MGI:103225,Cyp4b1,Viable,http://www.mousephenotype.org/data/genes/MGI:103225
MGI:103226,Cox7c,Lethal,http://www.mousephenotype.org/data/genes/MGI:103226
MGI:103236,Efna1,Viable,http://www.mousephenotype.org/data/genes/MGI:103236
MGI:103239,Tfap4,Viable,http://www.mousephenotype.org/data/genes/MGI:103239
MGI:103253,Cyb561,Viable,http://www.mousephenotype.org/data/genes/MGI:103253
MGI:103254,Rpia,Lethal,http://www.mousephenotype.org/data/genes/MGI:103254
MGI:103258,Adad1,Subviable,http://www.mousephenotype.org/data/genes/MGI:103258
MGI:103263,Mcf2l,Viable,http://www.mousephenotype.org/data/genes/MGI:103263
MGI:103270,Tfeb,Lethal,http://www.mousephenotype.org/data/genes/MGI:103270
MGI:103286,Atp6v0a1,Lethal,http://www.mousephenotype.org/data/genes/MGI:103286
MGI:103292,Rab19,Viable,http://www.mousephenotype.org/data/genes/MGI:103292
MGI:103294,Prg2,Viable,http://www.mousephenotype.org/data/genes/MGI:103294
MGI:103300,Rbl1,Subviable,http://www.mousephenotype.org/data/genes/MGI:103300
MGI:103306,Tiam1,Viable,http://www.mousephenotype.org/data/genes/MGI:103306
MGI:103556,Cxcl12,Lethal,http://www.mousephenotype.org/data/genes/MGI:103556
MGI:103559,Sox18,Viable,http://www.mousephenotype.org/data/genes/MGI:103559
MGI:103561,Kpna2,Subviable,http://www.mousephenotype.org/data/genes/MGI:103561
MGI:103569,Xk,Viable,http://www.mousephenotype.org/data/genes/MGI:103569
MGI:104328,Rhbdf1,Subviable,http://www.mousephenotype.org/data/genes/MGI:104328
MGI:104510,Myo7a,Viable,http://www.mousephenotype.org/data/genes/MGI:104510
MGI:104516,Slc23a3,Viable,http://www.mousephenotype.org/data/genes/MGI:104516
MGI:104526,Mef2b,Viable,http://www.mousephenotype.org/data/genes/MGI:104526
MGI:104533,Ccl9,Viable,http://www.mousephenotype.org/data/genes/MGI:104533
MGI:104539,Apof,Viable,http://www.mousephenotype.org/data/genes/MGI:104539
MGI:104540,Clec3b,Viable,http://www.mousephenotype.org/data/genes/MGI:104540
MGI:104556,Cdkn1a,Viable,http://www.mousephenotype.org/data/genes/MGI:104556
MGI:104558,Rps6ka1,Viable,http://www.mousephenotype.org/data/genes/MGI:104558
MGI:104559,Rcn1,Viable,http://www.mousephenotype.org/data/genes/MGI:104559
MGI:104560,Nsf,Lethal,http://www.mousephenotype.org/data/genes/MGI:104560
MGI:104566,Fgd1,Lethal,http://www.mousephenotype.org/data/genes/MGI:104566
MGI:104576,Lct,Viable,http://www.mousephenotype.org/data/genes/MGI:104576
MGI:104580,Rapgef1,Lethal,http://www.mousephenotype.org/data/genes/MGI:104580
MGI:104581,Gnb4,Viable,http://www.mousephenotype.org/data/genes/MGI:104581
MGI:104583,Eps15,Viable,http://www.mousephenotype.org/data/genes/MGI:104583
MGI:104589,Actg2,Viable,http://www.mousephenotype.org/data/genes/MGI:104589
MGI:104606,Rab34,Lethal,http://www.mousephenotype.org/data/genes/MGI:104606
MGI:104615,Cnr1,Subviable,http://www.mousephenotype.org/data/genes/MGI:104615
MGI:104629,Penk,Viable,http://www.mousephenotype.org/data/genes/MGI:104629
MGI:104630,Wars,Lethal,http://www.mousephenotype.org/data/genes/MGI:104630
MGI:104640,Rab17,Viable,http://www.mousephenotype.org/data/genes/MGI:104640
MGI:104643,Pdcd2,Lethal,http://www.mousephenotype.org/data/genes/MGI:104643
MGI:104652,Capzb,Lethal,http://www.mousephenotype.org/data/genes/MGI:104652
MGI:104653,Atp2b1,Subviable,http://www.mousephenotype.org/data/genes/MGI:104653
MGI:104663,Lep,Viable,http://www.mousephenotype.org/data/genes/MGI:104663
MGI:104667,Hmmr,Viable,http://www.mousephenotype.org/data/genes/MGI:104667
MGI:104672,Tfap2b,Lethal,http://www.mousephenotype.org/data/genes/MGI:104672
MGI:104673,Ptpn12,Lethal,http://www.mousephenotype.org/data/genes/MGI:104673
MGI:104683,Fnta,Lethal,http://www.mousephenotype.org/data/genes/MGI:104683
MGI:104685,Twist2,Subviable,http://www.mousephenotype.org/data/genes/MGI:104685
MGI:104688,Col4a3,Viable,http://www.mousephenotype.org/data/genes/MGI:104688
MGI:104696,Scnn1b,Lethal,http://www.mousephenotype.org/data/genes/MGI:104696
MGI:104697,Muc5ac,Viable,http://www.mousephenotype.org/data/genes/MGI:104697
MGI:104709,Wbp2,Viable,http://www.mousephenotype.org/data/genes/MGI:104709
MGI:104717,Meis1,Lethal,http://www.mousephenotype.org/data/genes/MGI:104717
MGI:104723,Fgf9,Lethal,http://www.mousephenotype.org/data/genes/MGI:104723
MGI:104725,Atn1,Viable,http://www.mousephenotype.org/data/genes/MGI:104725
MGI:104736,Evi5,Viable,http://www.mousephenotype.org/data/genes/MGI:104736
MGI:104738,Cdkn2a,Viable,http://www.mousephenotype.org/data/genes/MGI:104738
MGI:104740,Ppara,Viable,http://www.mousephenotype.org/data/genes/MGI:104740
MGI:104742,Kcnj3,Viable,http://www.mousephenotype.org/data/genes/MGI:104742
MGI:104747,Pkia,Viable,http://www.mousephenotype.org/data/genes/MGI:104747
MGI:104749,Osm,Viable,http://www.mousephenotype.org/data/genes/MGI:104749
MGI:104750,Nrcam,Viable,http://www.mousephenotype.org/data/genes/MGI:104750
MGI:104754,Sik1,Viable,http://www.mousephenotype.org/data/genes/MGI:104754
MGI:104767,Gpx4,Lethal,http://www.mousephenotype.org/data/genes/MGI:104767
MGI:104797,Lta,Viable,http://www.mousephenotype.org/data/genes/MGI:104797
MGI:104807,Pls3,Viable,http://www.mousephenotype.org/data/genes/MGI:104807
MGI:104808,Lcp1,Lethal,http://www.mousephenotype.org/data/genes/MGI:104808
MGI:104815,Ier2,Viable,http://www.mousephenotype.org/data/genes/MGI:104815
MGI:104837,Amz2,Viable,http://www.mousephenotype.org/data/genes/MGI:104837
MGI:104848,Inpp1,Viable,http://www.mousephenotype.org/data/genes/MGI:104848
MGI:104849,Cd55b,Viable,http://www.mousephenotype.org/data/genes/MGI:104849
MGI:104850,Cd55,Viable,http://www.mousephenotype.org/data/genes/MGI:104850
MGI:104864,Pdia4,Viable,http://www.mousephenotype.org/data/genes/MGI:104864
MGI:104871,Ppp1cb,Lethal,http://www.mousephenotype.org/data/genes/MGI:104871
MGI:104887,Gpx1,Viable,http://www.mousephenotype.org/data/genes/MGI:104887
MGI:104889,Ubp1,Lethal,http://www.mousephenotype.org/data/genes/MGI:104889
MGI:104897,Rest,Lethal,http://www.mousephenotype.org/data/genes/MGI:104897
MGI:104902,Gpc4,Viable,http://www.mousephenotype.org/data/genes/MGI:104902
MGI:104966,Syt17,Viable,http://www.mousephenotype.org/data/genes/MGI:104966
MGI:104967,Glg1,Subviable,http://www.mousephenotype.org/data/genes/MGI:104967
MGI:104976,Ddx6,Subviable,http://www.mousephenotype.org/data/genes/MGI:104976
MGI:104978,Cyp7b1,Viable,http://www.mousephenotype.org/data/genes/MGI:104978
MGI:104990,Gclc,Viable,http://www.mousephenotype.org/data/genes/MGI:104990
MGI:104993,Lepr,Viable,http://www.mousephenotype.org/data/genes/MGI:104993
MGI:105045,Serpina3n,Viable,http://www.mousephenotype.org/data/genes/MGI:105045
MGI:105058,Atp2a1,Lethal,http://www.mousephenotype.org/data/genes/MGI:105058
MGI:105064,Slc9a3,Viable,http://www.mousephenotype.org/data/genes/MGI:105064
MGI:105065,Rab24,Viable,http://www.mousephenotype.org/data/genes/MGI:105065
MGI:105069,Rab4a,Viable,http://www.mousephenotype.org/data/genes/MGI:105069
MGI:105070,Tnni2,Lethal,http://www.mousephenotype.org/data/genes/MGI:105070
MGI:105071,Rab4b,Viable,http://www.mousephenotype.org/data/genes/MGI:105071
MGI:105072,Rab22a,Viable,http://www.mousephenotype.org/data/genes/MGI:105072
MGI:105073,Tnni1,Lethal,http://www.mousephenotype.org/data/genes/MGI:105073
MGI:105074,Slc9a4,Viable,http://www.mousephenotype.org/data/genes/MGI:105074
MGI:105077,Hsd17b1,Viable,http://www.mousephenotype.org/data/genes/MGI:105077
MGI:105083,Slc1a1,Viable,http://www.mousephenotype.org/data/genes/MGI:105083
MGI:105084,Satb1,Lethal | Subviable,http://www.mousephenotype.org/data/genes/MGI:105084
MGI:105085,Rbl2,Subviable,http://www.mousephenotype.org/data/genes/MGI:105085
MGI:105089,Hsd17b4,Subviable,http://www.mousephenotype.org/data/genes/MGI:105089
MGI:105090,Slc6a5,Lethal,http://www.mousephenotype.org/data/genes/MGI:105090
MGI:105102,Gpx3,Lethal,http://www.mousephenotype.org/data/genes/MGI:105102
MGI:105108,Nin,Viable,http://www.mousephenotype.org/data/genes/MGI:105108
MGI:105120,Dusp1,Viable,http://www.mousephenotype.org/data/genes/MGI:105120
MGI:105121,Atf6b,Subviable,http://www.mousephenotype.org/data/genes/MGI:105121
MGI:105303,Cxcr2,Viable,http://www.mousephenotype.org/data/genes/MGI:105303
MGI:105304,Il6ra,Viable,http://www.mousephenotype.org/data/genes/MGI:105304
MGI:105306,Rab5c,Lethal,http://www.mousephenotype.org/data/genes/MGI:105306
MGI:105313,Cit,Subviable,http://www.mousephenotype.org/data/genes/MGI:105313
MGI:105369,Cbx1,Lethal,http://www.mousephenotype.org/data/genes/MGI:105369
MGI:105382,Lama5,Lethal,http://www.mousephenotype.org/data/genes/MGI:105382
MGI:105491,Cdipt,Lethal,http://www.mousephenotype.org/data/genes/MGI:105491
MGI:105923,Ednra,Lethal,http://www.mousephenotype.org/data/genes/MGI:105923
MGI:105926,Rab5a,Viable,http://www.mousephenotype.org/data/genes/MGI:105926
MGI:105933,Rab3ip,Viable,http://www.mousephenotype.org/data/genes/MGI:105933
MGI:105937,Cfi,Viable,http://www.mousephenotype.org/data/genes/MGI:105937
MGI:105938,Rab5b,Viable,http://www.mousephenotype.org/data/genes/MGI:105938
MGI:105959,Cox8a,Viable,http://www.mousephenotype.org/data/genes/MGI:105959
MGI:105968,Txlna,Subviable,http://www.mousephenotype.org/data/genes/MGI:105968
MGI:105975,Cfb,Viable,http://www.mousephenotype.org/data/genes/MGI:105975
MGI:105976,Myo5a,Viable,http://www.mousephenotype.org/data/genes/MGI:105976
MGI:105977,G6pd2,Viable,http://www.mousephenotype.org/data/genes/MGI:105977
MGI:106066,Ptafr,Viable,http://www.mousephenotype.org/data/genes/MGI:106066
MGI:106091,Cyp7a1,Viable,http://www.mousephenotype.org/data/genes/MGI:106091
MGI:106096,Loxl1,Viable,http://www.mousephenotype.org/data/genes/MGI:106096
MGI:106100,Etfdh,Lethal,http://www.mousephenotype.org/data/genes/MGI:106100
MGI:106181,Mybbp1a,Lethal,http://www.mousephenotype.org/data/genes/MGI:106181
MGI:106199,Vegfb,Viable,http://www.mousephenotype.org/data/genes/MGI:106199
MGI:106206,Nrp1,Lethal,http://www.mousephenotype.org/data/genes/MGI:106206
MGI:106209,Hells,Lethal,http://www.mousephenotype.org/data/genes/MGI:106209
MGI:106222,Capza2,Subviable,http://www.mousephenotype.org/data/genes/MGI:106222
MGI:106244,Tspyl2,Viable,http://www.mousephenotype.org/data/genes/MGI:106244
MGI:106250,Ermp1,Viable,http://www.mousephenotype.org/data/genes/MGI:106250
MGI:106281,D17Wsu92e,Viable,http://www.mousephenotype.org/data/genes/MGI:106281
MGI:106299,Slx4,Subviable,http://www.mousephenotype.org/data/genes/MGI:106299
MGI:106315,Foxred2,Viable,http://www.mousephenotype.org/data/genes/MGI:106315
MGI:106321,Dock9,Viable,http://www.mousephenotype.org/data/genes/MGI:106321
MGI:106331,Med10,Lethal,http://www.mousephenotype.org/data/genes/MGI:106331
MGI:106341,Atp5o,Lethal,http://www.mousephenotype.org/data/genes/MGI:106341
MGI:106351,Fam104a,Viable,http://www.mousephenotype.org/data/genes/MGI:106351
MGI:106354,Vps25,Lethal,http://www.mousephenotype.org/data/genes/MGI:106354
MGI:106362,Sco1,Lethal,http://www.mousephenotype.org/data/genes/MGI:106362
MGI:106369,Rnasek,Lethal,http://www.mousephenotype.org/data/genes/MGI:106369
MGI:106374,Zmiz2,Lethal,http://www.mousephenotype.org/data/genes/MGI:106374
MGI:106378,Mbd6,Lethal,http://www.mousephenotype.org/data/genes/MGI:106378
MGI:106388,Abhd17a,Viable,http://www.mousephenotype.org/data/genes/MGI:106388
MGI:106390,Nhsl1,Viable,http://www.mousephenotype.org/data/genes/MGI:106390
MGI:106402,Tmem30a,Lethal,http://www.mousephenotype.org/data/genes/MGI:106402
MGI:106441,Zranb1,Viable | Subviable,http://www.mousephenotype.org/data/genes/MGI:106441
MGI:106463,Washc2,Lethal,http://www.mousephenotype.org/data/genes/MGI:106463
MGI:106477,Mepce,Lethal,http://www.mousephenotype.org/data/genes/MGI:106477
MGI:106484,Rufy3,Lethal,http://www.mousephenotype.org/data/genes/MGI:106484
MGI:106562,Dbndd2,Viable,http://www.mousephenotype.org/data/genes/MGI:106562
MGI:106576,Chpf,Viable,http://www.mousephenotype.org/data/genes/MGI:106576
MGI:106581,Tsg101,Lethal,http://www.mousephenotype.org/data/genes/MGI:106581
MGI:106590,Has1,Viable,http://www.mousephenotype.org/data/genes/MGI:106590
MGI:106604,Gpld1,Viable,http://www.mousephenotype.org/data/genes/MGI:106604
MGI:106611,Rnf112,Viable,http://www.mousephenotype.org/data/genes/MGI:106611
MGI:106643,Efna4,Viable,http://www.mousephenotype.org/data/genes/MGI:106643
MGI:106645,Enpep,Viable,http://www.mousephenotype.org/data/genes/MGI:106645
MGI:106651,Ly6e,Lethal,http://www.mousephenotype.org/data/genes/MGI:106651
MGI:106657,Trim21,Viable,http://www.mousephenotype.org/data/genes/MGI:106657
MGI:106659,Sprr1b,Viable,http://www.mousephenotype.org/data/genes/MGI:106659
MGI:106660,Sprr1a,Viable,http://www.mousephenotype.org/data/genes/MGI:106660
MGI:106661,Ovgp1,Viable,http://www.mousephenotype.org/data/genes/MGI:106661
MGI:106687,Pon2,Viable,http://www.mousephenotype.org/data/genes/MGI:106687
MGI:106903,Gucy2c,Viable,http://www.mousephenotype.org/data/genes/MGI:106903
MGI:106913,Abi2,Viable,http://www.mousephenotype.org/data/genes/MGI:106913
MGI:106919,Vdac1,Subviable,http://www.mousephenotype.org/data/genes/MGI:106919
MGI:106921,Scn2b,Viable,http://www.mousephenotype.org/data/genes/MGI:106921
MGI:106924,Melk,Viable,http://www.mousephenotype.org/data/genes/MGI:106924
MGI:106927,Aff3,Viable,http://www.mousephenotype.org/data/genes/MGI:106927
MGI:107162,Ppp3cc,Viable,http://www.mousephenotype.org/data/genes/MGI:107162
MGI:107164,Ppp3ca,Viable,http://www.mousephenotype.org/data/genes/MGI:107164
MGI:107189,Ahsg,Viable,http://www.mousephenotype.org/data/genes/MGI:107189
MGI:107252,Nsun2,Subviable,http://www.mousephenotype.org/data/genes/MGI:107252
MGI:107283,Rab6b,Viable,http://www.mousephenotype.org/data/genes/MGI:107283
MGI:107307,Ing4,Viable,http://www.mousephenotype.org/data/genes/MGI:107307
MGI:107320,Sgsm1,Viable,http://www.mousephenotype.org/data/genes/MGI:107320
MGI:107339,Gfm1,Lethal,http://www.mousephenotype.org/data/genes/MGI:107339
MGI:107363,Stxbp1,Lethal,http://www.mousephenotype.org/data/genes/MGI:107363
MGI:107384,Dnm1,Lethal,http://www.mousephenotype.org/data/genes/MGI:107384
MGI:107403,Clk1,Viable,http://www.mousephenotype.org/data/genes/MGI:107403
MGI:107404,Tbr1,Subviable,http://www.mousephenotype.org/data/genes/MGI:107404
MGI:107405,Lefty1,Lethal,http://www.mousephenotype.org/data/genes/MGI:107405
MGI:107411,Ube2e1,Viable,http://www.mousephenotype.org/data/genes/MGI:107411
MGI:107414,Tnfsf10,Viable,http://www.mousephenotype.org/data/genes/MGI:107414
MGI:107416,Supt4a,Lethal,http://www.mousephenotype.org/data/genes/MGI:107416
MGI:107417,Slc50a1,Viable,http://www.mousephenotype.org/data/genes/MGI:107417
MGI:107420,Irak1,Viable,http://www.mousephenotype.org/data/genes/MGI:107420
MGI:107443,Fpr1,Viable,http://www.mousephenotype.org/data/genes/MGI:107443
MGI:107444,Efna5,Viable,http://www.mousephenotype.org/data/genes/MGI:107444
MGI:107448,Lyst,Viable,http://www.mousephenotype.org/data/genes/MGI:107448
MGI:107460,Cox6b1,Lethal,http://www.mousephenotype.org/data/genes/MGI:107460
MGI:107464,Plcb4,Viable,http://www.mousephenotype.org/data/genes/MGI:107464
MGI:107465,Plcb2,Viable,http://www.mousephenotype.org/data/genes/MGI:107465
MGI:107469,Plcd4,Viable,http://www.mousephenotype.org/data/genes/MGI:107469
MGI:107471,Notch4,Viable,http://www.mousephenotype.org/data/genes/MGI:107471
MGI:107494,Myl12b,Viable,http://www.mousephenotype.org/data/genes/MGI:107494
MGI:107497,Fxyd3,Viable,http://www.mousephenotype.org/data/genes/MGI:107497
MGI:107501,Kcnj11,Viable,http://www.mousephenotype.org/data/genes/MGI:107501
MGI:107506,Wfdc18,Viable,http://www.mousephenotype.org/data/genes/MGI:107506
MGI:107511,Art1,Viable,http://www.mousephenotype.org/data/genes/MGI:107511
MGI:107536,Lgals4,Viable,http://www.mousephenotype.org/data/genes/MGI:107536
MGI:107540,Klrb1a,Viable,http://www.mousephenotype.org/data/genes/MGI:107540
MGI:107563,Nab2,Viable,http://www.mousephenotype.org/data/genes/MGI:107563
MGI:107566,Kifap3,Lethal,http://www.mousephenotype.org/data/genes/MGI:107566
MGI:107576,Sipa1,Viable,http://www.mousephenotype.org/data/genes/MGI:107576
MGI:107577,Wbp1l,Viable,http://www.mousephenotype.org/data/genes/MGI:107577
MGI:107605,Npat,Lethal,http://www.mousephenotype.org/data/genes/MGI:107605
MGI:107624,Mvk,Lethal,http://www.mousephenotype.org/data/genes/MGI:107624
MGI:107628,Prdm2,Viable,http://www.mousephenotype.org/data/genes/MGI:107628
MGI:107658,Ifnar1,Viable,http://www.mousephenotype.org/data/genes/MGI:107658
MGI:107673,Akr1b8,Viable,http://www.mousephenotype.org/data/genes/MGI:107673
MGI:107684,Plxna2,Viable,http://www.mousephenotype.org/data/genes/MGI:107684
MGI:107688,Kif3b,Lethal,http://www.mousephenotype.org/data/genes/MGI:107688
MGI:107700,Casp4,Viable,http://www.mousephenotype.org/data/genes/MGI:107700
MGI:107709,Myo7b,Viable,http://www.mousephenotype.org/data/genes/MGI:107709
MGI:107716,Myo10,Viable,http://www.mousephenotype.org/data/genes/MGI:107716
MGI:107717,Myh9,Lethal,http://www.mousephenotype.org/data/genes/MGI:107717
MGI:107718,Dnah5,Subviable,http://www.mousephenotype.org/data/genes/MGI:107718
MGI:107721,Dnah1,Viable,http://www.mousephenotype.org/data/genes/MGI:107721
MGI:107728,Myo1d,Viable,http://www.mousephenotype.org/data/genes/MGI:107728
MGI:107730,Hoxb13,Subviable,http://www.mousephenotype.org/data/genes/MGI:107730
MGI:107733,Dctn2,Lethal,http://www.mousephenotype.org/data/genes/MGI:107733
MGI:107735,Myo9a,Viable,http://www.mousephenotype.org/data/genes/MGI:107735
MGI:107745,Dctn1,Lethal,http://www.mousephenotype.org/data/genes/MGI:107745
MGI:107780,Zfp84,Viable,http://www.mousephenotype.org/data/genes/MGI:107780
MGI:107794,Zfp69,Viable,http://www.mousephenotype.org/data/genes/MGI:107794
MGI:107795,Hnrnpc,Lethal,http://www.mousephenotype.org/data/genes/MGI:107795
MGI:107796,Akr7a5,Subviable,http://www.mousephenotype.org/data/genes/MGI:107796
MGI:107801,Atp5b,Lethal,http://www.mousephenotype.org/data/genes/MGI:107801
MGI:107815,Pfkfb2,Viable,http://www.mousephenotype.org/data/genes/MGI:107815
MGI:107816,Pfkfb1,Viable,http://www.mousephenotype.org/data/genes/MGI:107816
MGI:107823,Ctsk,Viable,http://www.mousephenotype.org/data/genes/MGI:107823
MGI:107846,Prmt1,Lethal,http://www.mousephenotype.org/data/genes/MGI:107846
MGI:107848,Tubb4a,Viable,http://www.mousephenotype.org/data/genes/MGI:107848
MGI:107851,Ndufv1,Lethal,http://www.mousephenotype.org/data/genes/MGI:107851
MGI:107852,Gp1bb,Viable,http://www.mousephenotype.org/data/genes/MGI:107852
MGI:107861,Tubb2a,Viable,http://www.mousephenotype.org/data/genes/MGI:107861
MGI:107877,Prkcsh,Lethal,http://www.mousephenotype.org/data/genes/MGI:107877
MGI:107893,D6Wsu163e,Viable,http://www.mousephenotype.org/data/genes/MGI:107893
MGI:107927,Rock1,Subviable,http://www.mousephenotype.org/data/genes/MGI:107927
MGI:107931,Sqstm1,Viable,http://www.mousephenotype.org/data/genes/MGI:107931
MGI:107935,Lrig1,Viable,http://www.mousephenotype.org/data/genes/MGI:107935
MGI:107936,Il18,Viable,http://www.mousephenotype.org/data/genes/MGI:107936
MGI:107953,Klc2,Viable,http://www.mousephenotype.org/data/genes/MGI:107953
MGI:107973,Igfals,Viable,http://www.mousephenotype.org/data/genes/MGI:107973
MGI:107976,Slc8a3,Viable,http://www.mousephenotype.org/data/genes/MGI:107976
MGI:107979,Kif3c,Lethal,http://www.mousephenotype.org/data/genes/MGI:107979
MGI:108005,Myd88,Viable,http://www.mousephenotype.org/data/genes/MGI:108005
MGI:108007,Kcnj9,Viable,http://www.mousephenotype.org/data/genes/MGI:108007
MGI:108011,Nobox,Subviable,http://www.mousephenotype.org/data/genes/MGI:108011
MGI:108012,Sebox,Viable,http://www.mousephenotype.org/data/genes/MGI:108012
MGI:108017,Laptm4a,Viable,http://www.mousephenotype.org/data/genes/MGI:108017
