Gene,Description
FNBP1,translocated-cancer
FOXO1,translocated-cancer
FOXO3,translocated-cancer
FOXO4,translocated-cancer
FOXP1,translocated-cancer
FSTL3,translocated-cancer
FUS,translocated-cancer
GAS7,translocated-cancer
GMPS,translocated-cancer
GOLGA5,translocated-cancer
GPC3,translocated-cancer
GPHN,translocated-cancer
HERPUD1,translocated-cancer
HIP1,translocated-cancer
HIST1H4I,translocated-cancer
HLF,translocated-cancer
HMGA1,translocated-cancer
HMGA2,translocated-cancer
HMGN2P46,translocated-cancer
HNRNPA2B1,translocated-cancer
HOOK3,translocated-cancer
HOXA11,translocated-cancer
HOXA13,translocated-cancer
HOXA9,translocated-cancer
HOXC11,translocated-cancer
HOXC13,translocated-cancer
HOXD11,translocated-cancer
HOXD13,translocated-cancer
HSP90AA1,translocated-cancer
HSP90AB1,translocated-cancer
IGH@,translocated-cancer
IGK@,translocated-cancer
IGL@,translocated-cancer
IKZF1,translocated-cancer
IL2,translocated-cancer
IL21R,translocated-cancer
IRF4,translocated-cancer
ITK,translocated-cancer
JAK2,translocated-cancer
JAZF1,translocated-cancer
KDM5A,translocated-cancer
KDSR,translocated-cancer
KLK2,translocated-cancer
KTN1,translocated-cancer
LASP1,translocated-cancer
LCK,translocated-cancer
LCP1,translocated-cancer
LHFP,translocated-cancer
LIFR,translocated-cancer
LMO1,translocated-cancer
LMO2,translocated-cancer
LPP,translocated-cancer
LYL1,translocated-cancer
MAF,translocated-cancer
MAFB,translocated-cancer
MALAT1,translocated-cancer
MALT1,translocated-cancer
MAML2,translocated-cancer
MDS2,translocated-cancer
MECOM,translocated-cancer
MKL1,translocated-cancer
MLF1,translocated-cancer
MLL,translocated-cancer
MLLT1,translocated-cancer
MLLT10,translocated-cancer
MLLT11,translocated-cancer
MLLT3,translocated-cancer
MLLT4,translocated-cancer
MLLT6,translocated-cancer
MN1,translocated-cancer
MNX1,translocated-cancer
MSI2,translocated-cancer
MSN,translocated-cancer
MTCP1,translocated-cancer
MUC1,translocated-cancer
MYB,translocated-cancer
MYC,translocated-cancer
MYH11,translocated-cancer
MYH9,translocated-cancer
NACA,translocated-cancer
NCKIPSD,translocated-cancer
NCOA1,translocated-cancer
NCOA2,translocated-cancer
NCOA4,translocated-cancer
NFIB,translocated-cancer
NFKB2,translocated-cancer
NIN,translocated-cancer
NONO,translocated-cancer
NOTCH1,translocated-cancer
NPM1,translocated-cancer
NR4A3,translocated-cancer
NSD1,translocated-cancer
NTRK1,translocated-cancer
NTRK3,translocated-cancer
NUMA1,translocated-cancer
NUP214,translocated-cancer
NUP98,translocated-cancer
OLIG2,translocated-cancer
OMD,translocated-cancer
P2RY8,translocated-cancer
PAFAH1B2,translocated-cancer
PATZ1,translocated-cancer
PAX3,translocated-cancer
PAX5,translocated-cancer
PAX7,translocated-cancer
PAX8,translocated-cancer
PBX1,translocated-cancer
PCM1,translocated-cancer
PCSK7,translocated-cancer
PDE4DIP,translocated-cancer
PDGFB,translocated-cancer
PDGFRA,translocated-cancer
PDGFRB,translocated-cancer
PER1,translocated-cancer
PICALM,translocated-cancer
PIM1,translocated-cancer
PLAG1,translocated-cancer
PML,translocated-cancer
POU2AF1,translocated-cancer
POU5F1,translocated-cancer
PPARG,translocated-cancer
PRCC,translocated-cancer
PRDM16,translocated-cancer
PRKAR1A,translocated-cancer
PRRX1,translocated-cancer
PSIP1,translocated-cancer
RABEP1,translocated-cancer
RAF1,translocated-cancer
RANBP17,translocated-cancer
RAP1GDS1,translocated-cancer
RARA,translocated-cancer
RBM15,translocated-cancer
RET,translocated-cancer
RHOH,translocated-cancer
RNF213,translocated-cancer
ROS1,translocated-cancer
RPL22,translocated-cancer
RPN1,translocated-cancer
RUNX1,translocated-cancer
RUNX1T1,translocated-cancer
5-Sep,translocated-cancer
6-Sep,translocated-cancer
9-Sep,translocated-cancer
SET,translocated-cancer
SFPQ,translocated-cancer
SH3GL1,translocated-cancer
SLC45A3,translocated-cancer
SPECC1,translocated-cancer
SRGAP3,translocated-cancer
SRSF3,translocated-cancer
SS18,translocated-cancer
SS18L1,translocated-cancer
SSX1,translocated-cancer
SSX2,translocated-cancer
SSX4,translocated-cancer
STIL,translocated-cancer
STL,translocated-cancer
SUZ12,translocated-cancer
SYK,translocated-cancer
TAF15,translocated-cancer
TAL1,translocated-cancer
TAL2,translocated-cancer
TCEA1,translocated-cancer
TCF12,translocated-cancer
TCF3,translocated-cancer
TCL1A,translocated-cancer
TCL6,translocated-cancer
TET1,translocated-cancer
TFE3,translocated-cancer
TFEB,translocated-cancer
TFG,translocated-cancer
TFPT,translocated-cancer
TFRC,translocated-cancer
THRAP3,translocated-cancer
TLX1,translocated-cancer
TLX3,translocated-cancer
TMPRSS2,translocated-cancer
TNFRSF17,translocated-cancer
TOP1,translocated-cancer
TPM3,translocated-cancer
TPM4,translocated-cancer
TPR,translocated-cancer
TRA@,translocated-cancer
TRB@,translocated-cancer
TRD@,translocated-cancer
TRIM24,translocated-cancer
TRIM27,translocated-cancer
TRIM33,translocated-cancer
TRIP11,translocated-cancer
TTL,translocated-cancer
USP6,translocated-cancer
WHSC1,translocated-cancer
WHSC1L1,translocated-cancer
ZBTB16,translocated-cancer
ZMYM2,translocated-cancer
ZNF331,translocated-cancer
ZNF384,translocated-cancer
ZNF521,translocated-cancer
